PEAKID,DEPTH,HEIGHT,LONG,LAT,AREA2D,FILTER
513718,-3084,1603,-138.920833332999,30.9380696614999,807.425179285,1
514369,-806,2512,-28.6208333332999,30.8714029948,1069.72872734,0
515210,-334,2320,138.554166667,30.7880696615,616.531002823999,1
515371,-2092,1105,-40.9624999999999,30.7630696615,625.332049893999,0
515426,-3691,1353,158.729166666999,30.7630696615,1040.14837459,1
516286,-1824,1375,-41.6708333333,30.6714029948,535.285199561,0
516446,-1991,1561,-119.1875,30.6547363281,827.953434732999,1
516780,-1640,2394,-123.220833333,30.6214029948,1114.27154808999,1
517485,-1018,1139,-116.9625,30.5464029948,942.72878813,0
517656,-3226,1178,-126.220833333,30.5297363281,516.548512419999,1
517746,-3603,1688,171.679166667,30.5297363281,1021.73339793,1
518587,-2768,1020,-119.4625,30.4380696614999,800.700709338,0
519028,-3203,1028,132.770833333,30.4047363281,418.862122707,1
519219,-1987,2561,-137.262499999999,30.3797363281,1081.83899846,1
519304,-1929,2419,136.345833333,30.3797363281,931.51360562,1
519648,-3932,1040,-48.9125,30.3380696615,605.536999694999,0
519807,-2567,1981,-137.620833333,30.3214029948,899.53001829,1
519899,-1191,1436,-117.654166667,30.3130696614999,765.975282250999,0
519970,-4329,1034,-177.620833333,30.3047363280999,373.161136220999,1
520041,-516,1591,139.204166667,30.3047363280999,793.698294764,0
